genre,artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Country,A Thousand Horses,0.00192,0.327,194107,0.835,0.00015,0.167,-4.952,0.0609,171.795,0.385,45
Soundtrack,Mark Mothersbaugh,0.932,0.253,102920,0.0798,0.568,0.0906,-18.512,0.0439,110.931,0.0487,25
Reggae,Unified Highway,0.0331,0.821,225437,0.737,0.0134,0.132,-6.295,0.212,137.968,0.787,19
Electronic,Stooki Sound,0.00428,0.745,225400,0.772,0.114,0.0722,-3.949,0.0904,133.113,0.17,29
Comedy,Bill Hicks,0.965,0.502,287973,0.804,9.56e-05,0.902,-9.935,0.807,104.576,0.185,17
Children's Music,Sugar Kane Music,0.715,0.787,133787,0.224,0.0,0.138,-9.607,0.0366,146.054,0.657,16
Pop,Justin Timberlake,0.382,0.62,243040,0.497,0.0482,0.193,-9.585,0.119,155.908,0.55,63
Hip-Hop,Lil Keke,0.0298,0.929,299733,0.61,0.0,0.0958,-6.064,0.321,136.081,0.868,51
Country,Cole Swindell,0.0709,0.57,161040,0.715,0.0,0.0745,-3.399,0.044,148.032,0.831,41
Soul,Hayden James,0.0216,0.709,343800,0.669,0.0125,0.146,-8.422,0.0409,105.004,0.106,65
Comedy,Martin Lawrence,0.66,0.648,72800,0.414,0.0,0.882,-20.418,,88.283,0.524,18
Ska,Reel Big Fish,0.167,0.529,450093,0.643,5.78e-06,0.355,-7.51,0.0415,96.536,0.664,19
Anime,Ayumi Hamasaki,0.938,0.543,258100,0.339,1.12e-05,0.351,-8.523,0.0365,110.981,0.367,27
R&B,LEISURE,0.175,0.807,185173,0.594,0.0591,0.32,-7.945,0.0295,130.086,0.83,20
Ska,Rancid,0.8,0.631,127227,0.66,0.0,0.137,-7.478,0.0257,97.159,0.614,27
Soul,Palace,0.349,0.429,269975,0.273,0.0384,0.111,-9.719,0.0287,110.161,0.112,47
Opera,Dame Joan Sutherland,0.963,0.249,284173,0.257,0.111,0.12,-15.19,0.0445,79.599,0.115,10
Reggae,Bob Marley & The Wailers,0.00499,0.939,207773,0.642,0.0,0.0427,-8.189,0.0525,134.709,0.967,65
Dance,Sigrid,0.121,0.674,217743,0.531,0.0,0.197,-6.941,0.0516,129.939,0.17,0
Rock,HUNNY,0.00303,0.498,205937,0.844,0.0,0.355,-5.163,0.0474,103.97,0.469,51
Ska,Jimmy Cliff,0.145,0.873,191533,0.391,3.7e-05,0.15,-15.117,0.0422,119.628,0.982,21
Reggae,Richie Spice,0.134,0.81,261787,0.44,2.98e-05,0.0992,-7.745,0.21,142.543,0.706,0
Soundtrack,Jeff Beal,0.949,0.236,163853,0.117,0.854,0.123,-23.925,0.0317,70.196,0.071,35
Soundtrack,Randy Edelman,0.987,0.34,153813,0.134,0.906,0.0959,-16.512,0.0323,81.047,0.198,31
Folk,Natalie Merchant,0.346,0.719,266008,0.739,0.0102,0.0581,-5.577,0.0419,115.142,0.603,53
Anime,THE YELLOW MONKEY,0.00305,0.523,268160,0.96,1.4e-06,0.301,-3.532,0.0701,117.168,0.675,29
Ska,8 Kalacas,4.58e-06,0.307,169053,0.978,3.81e-05,0.0553,-6.321,0.121,143.482,0.81,19
Rock,Deftones,0.00025,0.295,289200,0.883,0.0234,0.137,-3.897,0.0446,74.483,0.118,55
Reggae,Demarco,0.0341,0.553,207835,0.733,0.0,0.172,-6.654,0.356,124.185,0.281,33
Pop,Motion City Soundtrack,0.000494,0.435,207634,0.95,0.0,0.317,-3.869,0.106,160.987,0.457,64
Country,Robert Earl Keen,0.156,0.503,293387,0.614,8.89e-05,0.604,-10.875,0.0296,108.631,0.493,38
Children’s Music,Never Shout Never,0.944,0.738,210667,0.308,0.0,0.131,-7.242,0.0419,124.979,0.531,46
Alternative,The Internet,0.427,0.489,413587,0.506,0.0862,0.12,-10.251,0.177,95.528,0.431,50
Soul,Raphael Saadiq,0.00404,0.66,216307,0.806,0.0087,0.0704,-4.495,0.0246,99.987,0.75,35
Rap,Huncho Jack,0.00158,0.737,148560,0.737,0.0,0.28,-3.72,0.238,134.066,0.5,68
Children's Music,Music For Little People Choir,0.0729,0.701,274267,0.739,0.000333,0.0805,-6.547,0.0291,120.004,0.687,0
R&B,Jinsang,0.506,0.737,90187,0.259,0.135,0.0893,-18.901,0.423,149.106,0.42,44
World,Passion,0.0996,0.367,291627,0.496,0.0,0.676,-9.038,0.0356,76.069,0.197,30
Electronic,San Holo,0.235,0.474,341476,0.731,0.00536,0.223,-5.582,0.0406,135.056,0.0876,61
Classical,Erik Satie,0.936,0.092,221000,0.0239,0.902,0.18,-31.457,0.0488,67.289,0.0541,43
R&B,Shoffy,0.182,0.84,182400,0.193,0.0,0.173,-11.186,0.0696,99.99,0.204,61
Comedy,Robin Williams,0.375,0.475,104573,0.795,0.0,0.316,-5.005,0.0824,95.518,0.412,39
Anime,Capcom Sound Team,0.706,0.294,184120,0.652,0.823,0.116,-5.36,0.036,76.006,0.212,21
Indie,Lady Lamb,0.366,0.496,237680,0.469,0.0,0.133,-6.619,0.0352,137.833,0.259,45
Opera,Richard Wagner,0.92,0.0942,589000,0.0341,0.953,0.277,-26.675,0.04,84.676,0.0288,13
Country,Kellie Pickler,0.486,0.705,207200,0.44,0.0,0.113,-4.452,0.0254,86.008,0.453,38
Soundtrack,Austin Wintory,0.889,0.34,256819,0.386,0.905,0.252,-16.785,0.0378,151.964,0.234,44
Indie,Arcade Fire,0.0935,0.313,285133,0.853,0.169,0.166,-5.812,0.0372,119.955,0.579,49
Folk,Dan Auerbach,0.315,0.559,176027,0.466,0.0039,0.0933,-6.769,0.0362,117.21,0.623,67
Movie,Jean Claude Corbel,0.801,0.557,63023,0.247,0.0,0.179,-12.371,0.0308,109.603,0.276,0
Comedy,Mike Baldwin,0.712,0.446,175852,0.69,0.0,0.953,-13.451,0.911,85.848,0.298,16
Reggae,Lady Saw,0.561,0.797,197600,0.523,0.0,0.216,-9.817,0.0448,93.909,0.653,38
Electronic,Oneohtrix Point Never,0.123,0.378,305287,0.318,0.896,0.0933,-8.58,0.0351,121.904,0.0382,48
Jazz,Deaf Center,0.995,0.448,152160,0.00827,0.887,0.34,-27.805,0.0541,104.538,0.54,45
Movie,Nathan Lane,0.639,0.69,243267,0.418,0.0,0.14,-8.028,0.416,100.596,0.584,10
Soundtrack,John Williams,0.956,0.185,247493,0.0599,0.872,0.125,-27.514,0.0428,77.707,0.0393,34
Anime,MAXIMUM THE HORMONE,0.000889,0.281,156373,0.984,0.000187,0.236,-3.897,0.306,139.402,0.249,22
Anime,"Kami-sama, I have noticed",0.0515,0.623,211507,0.952,0.0,0.117,-4.83,0.266,134.966,0.39,39
Rap,Blac Youngsta,0.000385,0.903,163400,0.647,6.29e-05,0.111,-9.612,0.0998,142.963,0.817,62
Children’s Music,Passion,0.235,0.357,327587,0.556,0.0,0.104,-7.43,0.0335,148.01,0.191,51
Jazz,Jordan Rakei,0.465,0.645,226509,0.452,0.144,0.108,-8.305,0.0582,140.028,0.272,53
World,Philip Glass,0.974,0.153,77173,0.0459,0.71,0.114,-25.249,0.0434,102.788,0.0402,31
Electronic,Dillon Francis,0.00171,0.721,197442,0.925,0.0545,0.547,-3.208,0.196,111.961,0.37,53
Hip-Hop,Chief Keef,0.0332,0.654,317846,0.526,0.0,0.136,-7.591,0.423,120.019,0.384,48
R&B,Pink Sweat$,0.636,0.726,101500,0.375,0.0,0.0894,-8.295,0.0336,106.854,0.762,64
Rock,The Flying Burrito Brothers,0.15,0.525,380467,0.391,0.000541,0.107,-12.166,0.0284,130.443,0.27,56
Comedy,Todd Barry,0.857,0.561,152120,0.701,0.0,0.434,-14.806,0.929,81.994,0.423,20
Comedy,Jeff Foxworthy,0.775,0.543,243333,0.892,0.0,0.704,-9.395,0.948,95.459,0.171,21
Ska,The Black Seeds,0.00377,0.798,286013,0.765,0.000788,0.0989,-7.299,0.0699,99.047,,17
